Math_S11,Critical Reading_S11,Citizen Competencies_S11,Biology_S11,English_S11,Quantitative Reasoning_PRO,Critical Reading_PRO,Citizen Competencies_PRO,English_PRO,Written Communication_PRO,Formulation of Engineering Projects_PRO,Cluster,Efficient
71,81,61,86,82,71,93,71,93,79,181,0,0
83,75,66,100,88,97,38,86,98,78,201,0,0
80,65,76,85,92,94,94,98,100,71,189,0,0
71,60,57,61,82,86,15,32,97,36,170,0,0
71,75,61,75,85,68,8,50,92,53,187,0,0
74,67,61,85,96,97,86,94,97,98,188,0,1
74,71,61,78,96,96,83,93,100,98,187,0,1
76,71,64,75,82,99,82,80,97,83,180,0,1
62,58,59,55,59,89,64,77,74,30,172,0,1
74,67,72,78,68,83,69,72,89,8,145,0,0
74,64,61,72,88,85,76,100,94,75,164,0,1
61,44,53,41,53,95,86,52,74,59,135,0,1
58,53,51,48,58,99,64,54,89,38,90,0,1
67,65,50,72,82,94,81,22,88,44,174,0,0
80,71,68,66,75,96,99,93,92,74,179,0,1
83,75,65,100,71,100,92,91,97,91,78,0,0
85,71,63,72,92,96,59,74,97,73,81,0,0
54,62,56,55,43,98,100,78,74,93,174,0,1
80,62,76,78,92,100,92,99,100,7,227,0,0
80,53,57,70,62,77,82,80,81,43,178,0,1
74,71,66,70,76,97,88,79,98,71,131,0,1
61,60,61,60,54,79,84,78,82,79,157,0,1
76,71,74,91,78,98,98,79,95,23,106,0,0
72,62,61,78,82,95,61,89,97,46,157,0,0
60,60,61,71,62,70,79,89,88,58,203,0,1
50,58,52,52,75,60,77,45,74,89,153,0,1
69,67,56,68,64,96,93,87,92,31,205,0,1
83,62,66,72,82,92,96,95,95,78,168,0,1
80,62,71,81,88,97,93,100,97,46,183,0,0
83,75,68,81,85,95,19,5,96,63,91,0,0
63,60,59,75,80,93,71,90,88,11,185,0,0
65,62,59,66,54,81,55,78,59,77,157,0,1
69,60,76,71,92,90,90,86,100,67,206,0,1
67,81,56,73,78,79,95,9,72,88,200,0,0
65,51,45,63,55,75,71,92,69,99,162,0,1
